Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
FAIR principles for AI models with a practical application for accelerated high energy diffraction microscopy,Scientific Data,,,,10.1038/s41597-022-01712-9,Nikil RaviPranshu ChaturvediE. A. HuertaZhengchun LiuRyan ChardAristana ScourtasK. J. SchmidtKyle ChardBen BlaiszikIan Foster,2022,https://link.springer.com/article/10.1038/s41597-022-01712-9,Article
Metabolomic signatures of lactic acid bacteria: their growth rates and roles in enhancing kimchi quality,Applied Biological Chemistry,,,,10.1186/s13765-025-01025-6,So-Jeong KimJi-Sue LeeVindya H. J. Hetti ArachchigeEun-Hee KimByung-Hee RyuJung Sung LeeYoung-Shick Hong,2025,https://link.springer.com/article/10.1186/s13765-025-01025-6,Article
"An archaeometric approach to biocontamination with manganese pigments in ancient marine hunter-gatherers of the Atacama Desert: health, ideological, and socioecononic considerations",Archaeological and Anthropological Sciences,,,,10.1007/s12520-023-01884-4,Bernardo ArriazaLeonardo FigueroaJuan Pablo OgaldeVivien StandenSiân HalcrowDulasiri AmarasiriwardenaJohn Van HoesenJosé Castelleti,2023,https://link.springer.com/article/10.1007/s12520-023-01884-4,Article
"Design, spectral, molecular modeling, antimitotic, analytical and mechanism studies of phenyl isothiocyanate Girard's T derived metal complexes",BMC Chemistry,,,,10.1186/s13065-023-01033-x,Magda A. AklNora A. El MahdyZizi ElbadrawyAbdelrahman S. El-ZenyMohsen M. Mostafa,2023,https://link.springer.com/article/10.1186/s13065-023-01033-x,Article
Learning Career Knowledge: Can AI Simulation and Machine Learning Improve Career Plans and Educational Expectations?,AI in Learning: Designing the Future,,,,10.1007/978-3-031-09687-7_9,I-Chien ChenLydia BradfordBarbara Schneider,2023,https://link.springer.com/chapter/10.1007/978-3-031-09687-7_9,Chapter
Possibilities of using biosorbents and synthetic sorbents in monitoring heavy metal pollution of surface waters,Scientific Reports,,,,10.1038/s41598-025-89365-7,Andrzej KłosSławomir WierzbaMagdalena Piechaczek-WereszczyńskaKacper MatikMariusz GłowackiMaciej PłotkaAlicja GawdzikMirosław WiatkowskiAgnieszka Dołhańczuk-ŚródkaZbigniew Ziembik,2025,https://link.springer.com/article/10.1038/s41598-025-89365-7,Article
Exploring the impact of chaos engineering with various user loads on cloud native applications: an exploratory empirical study,Computing,,,,10.1007/s00607-024-01292-z,Amro Al-Said AhmadLamis F. Al-Qora’nAhmad Zayed,2024,https://link.springer.com/article/10.1007/s00607-024-01292-z,Article
Optimized spray-drying of zinc sulfate-loaded liposomes: physicochemical characterization and in vitro release assessment,Scientific Reports,,,,10.1038/s41598-025-05948-4,Monireh AbbassiSamad Nejad EbrahimiMasoud Rahimi,2025,https://link.springer.com/article/10.1038/s41598-025-05948-4,Article
How to convince in a televised debate: the application of machine learning to analyze why viewers changed their winner perception during the 2021 German chancellor discussion,Humanities and Social Sciences Communications,,,,10.1057/s41599-023-02047-5,Felix EttenspergerThomas WaldvogelUwe WagschalSamuel Weishaupt,2023,https://link.springer.com/article/10.1057/s41599-023-02047-5,Article
Survey on serverless computing,Journal of Cloud Computing,,,,10.1186/s13677-021-00253-7,Hassan B. HassanSaman A. BarakatQusay I. Sarhan,2021,https://link.springer.com/article/10.1186/s13677-021-00253-7,Article
A Distributed Virtual-Machine Placement and Migration Approach Based on Modern Portfolio Theory,Journal of Network and Systems Management,,,,10.1007/s10922-023-09775-8,Manoel C. Silva FilhoClaudio C. MonteiroPedro Ricardo M. InácioMário M. Freire,2023,https://link.springer.com/article/10.1007/s10922-023-09775-8,Article
Serverless computing: a security perspective,Journal of Cloud Computing,,,,10.1186/s13677-022-00347-w,Eduard MarinDiego PerinoRoberto Di Pietro,2022,https://link.springer.com/article/10.1186/s13677-022-00347-w,Article
An eco-friendly ultrasound-assisted deep eutectic solvent-based liquid–phase microextraction method for enrichment and quantification of nickel in environmental samples,Journal of Umm Al-Qura University for Applied Sciences,,,,10.1007/s43994-022-00009-2,Ahmed M. Hameed,2022,https://link.springer.com/article/10.1007/s43994-022-00009-2,Article
"Get up, stand up: a randomized controlled trial to assess the effectiveness of a messenger-based intervention to reduce sedentary behavior in university students",Journal of Public Health,,,,10.1007/s10389-022-01747-7,Mona KellnerFranziska Faas,2022,https://link.springer.com/article/10.1007/s10389-022-01747-7,Article
Severity: a QoS-aware approach to cloud application elasticity,Journal of Cloud Computing,,,,10.1186/s13677-021-00255-5,Andreas TsagkaropoulosYiannis VerginadisNikos PapageorgiouFotis ParaskevopoulosDimitris ApostolouGregoris Mentzas,2021,https://link.springer.com/article/10.1186/s13677-021-00255-5,Article
Mild-intensity physical activity prevents cardiac and osseous iron deposition without affecting bone mechanical property or porosity in thalassemic mice,Scientific Reports,,,,10.1038/s41598-022-09997-x,Narattaphol CharoenphandhuSupagarn SooksawanwitRatchaneevan AeimlapaNatchayaporn ThonapanPornpailin UpananPunyanuch AdulyaritthikulSaowalak KrungchanuchatNattapon PanupinthuJarinthorn TeerapornpuntakitCatleya RojviriyaKornkamon LertsuwanSaovaros SvastiKannikar Wongdee,2022,https://link.springer.com/article/10.1038/s41598-022-09997-x,Article
Production performance and rumen bacterial community structure of <i>Hu</i> sheep fed fermented spent mushroom substrate from <i>Pleurotus eryngii</i>,Scientific Reports,,,,10.1038/s41598-023-35828-8,Xiaoyun HuangLiuting ZhouXiaofeng YouHaidong HanXinzhu ChenXiusheng Huang,2023,https://link.springer.com/article/10.1038/s41598-023-35828-8,Article
Rhizobiome diversity of field-collected hyperaccumulating <i>Noccaea</i> sp.,BMC Plant Biology,,,,10.1186/s12870-024-05605-4,Valentina BočajPaula PongracHelena GrčmanMartin ŠalaMatevž Likar,2024,https://link.springer.com/article/10.1186/s12870-024-05605-4,Article
Towards Cognitive Ports of the Future,Technologies and Applications for Big Data Value,,,,10.1007/978-3-030-78307-5_20,Santiago CáceresFrancisco ValverdeCarlos E. PalauAndreu Belsa PellicerChristos A. GizelisDimosthenes KrassasHanane BechaRéda KhouaniAndreas MetzgerNikos TzagkarakisAnthousa KarkoglouAnastasios NikolakopoulosAchilleas MarinakisVrettos MoulosAntonios LitkeAmir Shayan AhmadianJan Jürjens,2022,https://link.springer.com/chapter/10.1007/978-3-030-78307-5_20,Chapter
"Comparative analysis of heavy metals toxicity in drinking water of selected industrial zones in Gujranwala, Pakistan",Scientific Reports,,,,10.1038/s41598-024-82138-8,Iqra AfzalShaheen BegumShazia IramRabia ShabbirAbdelaaty A. ShahatTehseen Javed,2024,https://link.springer.com/article/10.1038/s41598-024-82138-8,Article
"Calcium, zinc, and vitamin D in breast milk: a systematic review and meta-analysis",International Breastfeeding Journal,,,,10.1186/s13006-023-00564-2,Magali Rios-LeyvrazQisi Yao,2023,https://link.springer.com/article/10.1186/s13006-023-00564-2,Article
Unveiling the metabolic landscape of pulmonary hypertension: insights from metabolomics,Respiratory Research,,,,10.1186/s12931-024-02775-5,Huixue BaYingfan GuoYujie JiangYing LiXuejing DaiYuan LiuXiaohui Li,2024,https://link.springer.com/article/10.1186/s12931-024-02775-5,Article
High surface area and interconnected nanoporosity of clay-rich astromaterials,Scientific Reports,,,,10.1038/s41598-024-61114-2,Laurence A. J. GarvieLászló TrifDesireé Cotto-FigueroaErik AsphaugChristian G. Hoover,2024,https://link.springer.com/article/10.1038/s41598-024-61114-2,Article
Biodiversity in nutrients and biological activities of 14 highbush blueberry (<i>Vaccinium corymbosum</i> L.) cultivars,Scientific Reports,,,,10.1038/s41598-024-71114-x,Sabina Lachowicz-WiśniewskaAnubhav Pratap-SinghIreneusz OchmianIreneusz KapustaAgata KotowskaStanisław Pluta,2024,https://link.springer.com/article/10.1038/s41598-024-71114-x,Article
"Method Development and Optimization of Liquid-Liquid Microextraction Based on the Decomposition of Deep Eutectic Solvent for the Determination of Chromium (VI) in Spinach: Assessment of the Greenness Profile Using Eco-scale, AGREE, and AGREEprep",Food Analytical Methods,,,,10.1007/s12161-024-02583-z,D. MoemaTA. MakwakwaH. N. NyambakaS. DubeMM Nindi,2024,https://link.springer.com/article/10.1007/s12161-024-02583-z,Article
Health risk management framework for heavy metals and cyanide in Kwekwe city of Zimbabwe: a mixed-method study protocol,"Journal of Health, Population and Nutrition",,,,10.1186/s41043-023-00367-5,Sheunesu NgwenyaNtsieni S. MashauEmmanuel S. MhlongoAfsatou N. TraoréAzwinndini G. Mudau,2023,https://link.springer.com/article/10.1186/s41043-023-00367-5,Article
Iron acetate solution prepared from steel wool and vinegar for ebonizing wood,Journal of Wood Science,,,,10.1186/s10086-023-02079-0,Robert Q. Thompson,2023,https://link.springer.com/article/10.1186/s10086-023-02079-0,Article
Upshot of temperature on multi-walled carbon nanotubes synthesized Via CVD aided spray pyrolysis and its application towards lead ion removal from waste water,Discover Chemistry,,,,10.1007/s44371-024-00051-5,V. S. AngulakshmiS. MageswariS. Kalaiselvan,2024,https://link.springer.com/article/10.1007/s44371-024-00051-5,Article
Differential response of chitinolytic and proteolytic depolymerization-mineralization pathways to organic nitrogen substrates,Biology and Fertility of Soils,,,,10.1007/s00374-025-01932-2,Chase S. KasmerchakRachel C. DaughtridgeAndrew J. Margenot,2025,https://link.springer.com/article/10.1007/s00374-025-01932-2,Article
Trace Elements and Cognitive Function in Adults and Older Adults: A Comprehensive Systematic Review,Exposure and Health,,,,10.1007/s12403-024-00667-z,Bianca GerardoJoana NogueiraMarina Cabral PintoAgostinho AlmeidaMário R. SimõesSandra Freitas,2024,https://link.springer.com/article/10.1007/s12403-024-00667-z,Article
The “Free Voters”: A&#xa0;Decent Alternative for Conservatives?,Politische Vierteljahresschrift,,,,10.1007/s11615-023-00470-6,L. Constantin WurthmannMichael AngenendtJan Philipp Thomeczek,2023,https://link.springer.com/article/10.1007/s11615-023-00470-6,Article
Parsimonious Optimal Dynamic Partial Order Reduction,Computer Aided Verification,,,,10.1007/978-3-031-65630-9_2,Parosh Aziz AbdullaMohamed Faouzi AtigSarbojit DasBengt JonssonKonstantinos Sagonas,2024,https://link.springer.com/chapter/10.1007/978-3-031-65630-9_2,Conference paper
"Effect of minerals and heavy metals in sand samples of Ponnai river, Tamil Nadu, India",Scientific Reports,,,,10.1038/s41598-021-02717-x,A. ChandrasekaranC. K. Senthil KumarV. SathishS. ManigandanA. Tamilarasi,2021,https://link.springer.com/article/10.1038/s41598-021-02717-x,Article
Evaluation of heavy metal contamination in landfills and role of multi-heavy metal-resistant rhizobacteria in heavy metal mobilization,International Journal of Environmental Science and Technology,,,,10.1007/s13762-025-06695-9,J. MontreemukW. RongsayamanontA. UssawarujikulchaiW. PansakB. Prapagdee,2025,https://link.springer.com/article/10.1007/s13762-025-06695-9,Article
"Investigation of heavy metal levels in canned tomato paste, olives, and pickled",Scientific Reports,,,,10.1038/s41598-025-06896-9,Parisa Shavali -gilaniAmirhossein AbediniNamra IrshadShokoufe MaleknezhadNajmeh YazdanfarParisa Sadighara,2025,https://link.springer.com/article/10.1038/s41598-025-06896-9,Article
Silver Chloride Precipitation-limiting Factor for Accurate Silver Determination in Ag-accumulating Mushrooms After Nitric Acid Digestion,Biological Trace Element Research,,,,10.1007/s12011-025-04605-1,Iva SynkováJan Borovička,2025,https://link.springer.com/article/10.1007/s12011-025-04605-1,Article
A comprehensive review of earthworm-derived vermiproducts and their role in sustainable agriculture,Discover Applied Sciences,,,,10.1007/s42452-025-07614-w,Nadana Raja Vadivu GanapathyAnbu Cheziyan ElangoGanga BalajiMugesh SankaranarayananManisha Sharma,2025,https://link.springer.com/article/10.1007/s42452-025-07614-w,Article
Objectively Assessing the Effect of a Messenger-based Intervention to Reduce Sedentary Behavior in University Students: A Pilot Study,Journal of Prevention,,,,10.1007/s10935-023-00735-1,Mona KellnerC. DoldM. Lohkamp,2023,https://link.springer.com/article/10.1007/s10935-023-00735-1,Article
A Systematic Review Using ProKnow-C on Methods and Methodologies to Physicochemical Characterization in PM on Leaf Surfaces,"Water, Air, & Soil Pollution",,,,10.1007/s11270-025-08258-7,Juliana Zuluaga-GómezDavid Aguiar-GilLuisa M. Gómez-PeláezAngie Y. Arroyave-AriasMauricio A. Correa-Ochoa,2025,https://link.springer.com/article/10.1007/s11270-025-08258-7,Article
Calcium coordination polymer containing dimethylphosphate ligands and exhibiting nucleating properties towards α and Β crystal polymorphs of isotactic polypropylene,Scientific Reports,,,,10.1038/s41598-025-99757-4,Maciej DębowskiMateusz KullasKrystyna CzajaBeata Sacher-MajewskaMarcin BączekMaciej DrankaAndrzej OstrowskiZbigniew Florjańczyk,2025,https://link.springer.com/article/10.1038/s41598-025-99757-4,Article
Focal adhesions contain three specialized actin nanoscale layers,Nature Communications,,,,10.1038/s41467-024-46868-7,Reena KumariKatharina VenMegan ChastneyShrikant B. KokateJohan PeränenJesse AaronKonstantin KoganLeonardo Almeida-SouzaElena KremnevaRenaud PoinclouxTeng-Leong ChewPeter W. GunningJohanna IvaskaPekka Lappalainen,2024,https://link.springer.com/article/10.1038/s41467-024-46868-7,Article
Management of medical record data with multi-level security on Amazon Web Services,SN Applied Sciences,,,,10.1007/s42452-023-05502-9,Mohammed K. ElghoulSayed F. BahgatAshraf S. HusseinSafwat H. Hamad,2023,https://link.springer.com/article/10.1007/s42452-023-05502-9,Article
Structural modification of defective WO<sub>3</sub> by g-C<sub>3</sub>N<sub>4</sub> for photocatalytic gold recovery from non-cyanide-based plating effluent,Scientific Reports,,,,10.1038/s41598-024-81928-4,Pimchanok LongchinTesfaye Tadesse GebremariamNaphaphan KunthakudeeAuttawit ThoumrungrojThanapol SutthiphongMali Hunsom,2025,https://link.springer.com/article/10.1038/s41598-024-81928-4,Article
Lactobacillomics as a new notion in lactic acid bacteria research through omics integration,World Journal of Microbiology and Biotechnology,,,,10.1007/s11274-025-04285-y,Özge Kahraman Ilıkkan,2025,https://link.springer.com/article/10.1007/s11274-025-04285-y,Article
Spatial segregation of catalytic sites within Pd doped H-ZSM-5 for fatty acid hydrodeoxygenation to alkanes,Nature Communications,,,,10.1038/s41467-024-51925-2,Shengzhe DingDario Luis Fernandez AinagaMin HuBoya QiuUshna KhalidCarmine D’AgostinoXiaoxia OuBen SpencerXiangli ZhongYani PengNicole HondowConstantinos TheodoropoulosYilai JiaoChristopher M. A. ParlettXiaolei Fan,2024,https://link.springer.com/article/10.1038/s41467-024-51925-2,Article
Moral rhetoric in discrete choice models: a Natural Language Processing approach,Quality & Quantity,,,,10.1007/s11135-023-01625-8,Teodóra SzépSander van CranenburghCaspar Chorus,2023,https://link.springer.com/article/10.1007/s11135-023-01625-8,Article
Digital Work in Smart Production Systems,New Digital Work,,,,10.1007/978-3-031-26490-0_3,Jochen DeuseRené WöstmannVanessa WeßkampDavid WagstylChristoph Rieger,2023,https://link.springer.com/chapter/10.1007/978-3-031-26490-0_3,Chapter
A multispecies microcosm to assess the effect of footwear wastes on soil biota: a contribution towards sustainability,Environmental Science and Pollution Research,,,,10.1007/s11356-025-36824-3,Beatriz FernandesVerónica NogueiraSirine BouguerraCristiano SoaresFernanda FidalgoJoana MachadoSusana M. P. CarvalhoMaria José FerreiraVera PintoJosé RodriguesCarlos M. PereiraRuth Pereira,2025,https://link.springer.com/article/10.1007/s11356-025-36824-3,Article
Impact of digital transformation for sustainable circular economic environments,Carbon Neutral Systems,,,,10.1007/s44438-025-00001-3,Dietmar P. F. MöllerQichen WangLiangchao HuangBin XiongYilin GuoTianle ShiRu Zhang,2025,https://link.springer.com/article/10.1007/s44438-025-00001-3,Article
"Insights into brewed tea waste as a green and low-priced adsorbent for solid-phase extraction of Cd(II) ions: isotherm, kinetic, and artificial neural network approach",Journal of Analytical Science and Technology,,,,10.1186/s40543-022-00360-3,Duygu OzdesNida TilkiSerdal SekerCelal Duran,2022,https://link.springer.com/article/10.1186/s40543-022-00360-3,Article
Use of diffusive gradients in thin-film technique to predict the mobility and transfer of nutrients and toxic elements from agricultural soil to crops—an overview of recent studies,Environmental Science and Pollution Research,,,,10.1007/s11356-024-33602-5,Marin SenilaEniko Kovacs,2024,https://link.springer.com/article/10.1007/s11356-024-33602-5,Article
"Environmental Behaviour of Synthesized and Commercial Agricultural Zinc Products: Leaching, Migration, and Availability in Soils",Journal of Soil Science and Plant Nutrition,,,,10.1007/s42729-024-01908-5,Marina de FranciscoAndreia RomeiroLuisa DurãesSilvia Álvarez-TorrellasMiguel Angel IbañezPatricia Almendros,2024,https://link.springer.com/article/10.1007/s42729-024-01908-5,Article
"Reliability of repeated exposure to the human elevated plus-maze in virtual reality: Behavioral, emotional, and autonomic responses",Behavior Research Methods,,,,10.3758/s13428-022-02046-5,Sarah V. BiedermannLateefah RothDaniel BiedermannJohannes Fuss,2022,https://link.springer.com/article/10.3758/s13428-022-02046-5,Article
The SODALITE Runtime Environment,Deployment and Operation of Complex Software in Heterogeneous Execution Environments,,,,10.1007/978-3-031-04961-3_5,Indika KumaraGiovanni QuattrocchiDragan RadoloviÄ‡Kamil TokmakovJesÃºs Ramos RivasWillem-Jan Van Den Heuvel,2022,https://link.springer.com/chapter/10.1007/978-3-031-04961-3_5,Chapter
Calcium and silicon nanofertilizers improved morphological attributes and fatty acid composition in olive; an insight to synergistic interaction between these elements,BMC Plant Biology,,,,10.1186/s12870-025-07027-2,Javad Erfani-MoghadamAbdolkarim Zarei,2025,https://link.springer.com/article/10.1186/s12870-025-07027-2,Article
Pharmacodynamics and biodistribution of [195mPt]cisplatin(CISSPECT®) in head and neck squamous cell carcinoma,EJNMMI Research,,,,10.1186/s13550-024-01082-w,Reinout H. de RoestMarijke Stigter van WalsumKarlijn van der SchildenRuud H. Brakenhoff,2024,https://link.springer.com/article/10.1186/s13550-024-01082-w,Article
Awaiting for Godot: stateless model checking that avoids executions where nothing happens,Formal Methods in System Design,,,,10.1007/s10703-025-00479-0,Bengt JonssonMagnus LångKonstantinos Sagonas,2025,https://link.springer.com/article/10.1007/s10703-025-00479-0,Article
A comparative study on selectivity and sensitivity of new chromium and copper electrodes,Scientific Reports,,,,10.1038/s41598-022-17662-6,Elnaz Bakhshi SarabiLeila HajiaghababaeiMohammad Reza Allahgholi GhasriSeyed Enayatollah MottaghinejadAli Parsa,2022,https://link.springer.com/article/10.1038/s41598-022-17662-6,Article
Effects of thermal processing and storage on physicochemical properties and volatile flavor compounds of dried abalone (<i>Haliotis discus hannai</i>♀ × <i>H. fulgens</i>♂),Agricultural Products Processing and Storage,,,,10.1007/s44462-025-00025-5,Jiacheng GanWeiguang ZouJiawei HongHaichen ZhangXuan LuoCaihuan KeWeiwei You,2025,https://link.springer.com/article/10.1007/s44462-025-00025-5,Article
Should automated vehicles communicate their state or intent? Effects of eHMI activations and non-activations on pedestrians’ trust formation and crossing behavior,Multimedia Tools and Applications,,,,10.1007/s11042-024-20497-0,Daniel EiseleJohannes KrausMagdalena Maria SchlemerTibor Petzoldt,2024,https://link.springer.com/article/10.1007/s11042-024-20497-0,Article
The impact of contextual effects in exercise therapy for low back pain: a systematic review and meta-analysis,BMC Medicine,,,,10.1186/s12916-024-03679-3,Aaltje de RoodeMartijn W. HeymansWim van LankveldJ. Bart Staal,2024,https://link.springer.com/article/10.1186/s12916-024-03679-3,Article
Bioremediation of industrial wastewater heavy metals using solo and consortium <i>Enterobacter</i> spp.,Environmental Monitoring and Assessment,,,,10.1007/s10661-023-11951-x,Mahmoud Saber KelanyMohamed AbdElAziz El-sawyAhmed Rabie El-GendyEhab Aly Beltagy,2023,https://link.springer.com/article/10.1007/s10661-023-11951-x,Article
Influence of the Reduction Rate of Slag from Oxidation Process of Cu–Fe–Pb Alloy During Reduction (De-coppering) on Its Viscosity,Metallurgical and Materials Transactions B,,,,10.1007/s11663-024-03381-y,Piotr Madej,2024,https://link.springer.com/article/10.1007/s11663-024-03381-y,Article
Biocarbon derived from <i>Lantana camara</i> L. leaf and seed for adsorption of heavy metals from floriculture wastewater,Discover Environment,,,,10.1007/s44274-025-00237-3,Hussen HassenZekeria YusufJ. M. Sasikumar,2025,https://link.springer.com/article/10.1007/s44274-025-00237-3,Article
Low concentrations of methyl jasmonate promote plant growth and mitigate Cd toxicity in <i>Cosmos bipinnatus</i>,BMC Plant Biology,,,,10.1186/s12870-024-05526-2,Xiaofang YuYujia LiuLiu YangYujing LiuChunyu FanZihan YangYuhan XuXiaoxuan ZengXue XiaoLijuan YangTing LeiMingyan JiangXi LiSuping GaoQi Tao,2024,https://link.springer.com/article/10.1186/s12870-024-05526-2,Article
Self-tuning serverless task farming using proactive elasticity control,Cluster Computing,,,,10.1007/s10586-020-03158-3,Stefan KehrerDominik ZietlowJochen ScheffoldWolfgang Blochinger,2020,https://link.springer.com/article/10.1007/s10586-020-03158-3,Article
The intake of ultra-processed foods and homocysteine levels in women with(out) overweight and obesity: The Rotterdam Periconceptional Cohort,European Journal of Nutrition,,,,10.1007/s00394-024-03334-w,Nicole SchenkelaarsLenie van RossemSten P. WillemsenMarijke M. FaasSam SchoenmakersRégine P. M. Steegers-Theunissen,2024,https://link.springer.com/article/10.1007/s00394-024-03334-w,Article
Measuring the Business Value of Cloud Computing: Emerging Paradigms and Future Directions for Research,Measuring the Business Value of Cloud Computing,,,,10.1007/978-3-030-43198-3_7,Theo LynnPierangelo RosatiGrace Fox,2020,https://link.springer.com/chapter/10.1007/978-3-030-43198-3_7,Chapter
Umami and Satiety,Umami,,,,10.1007/978-3-031-32692-9_5,Martin R. Yeomans,2024,https://link.springer.com/chapter/10.1007/978-3-031-32692-9_5,Chapter
Jumping on the Bandwagon: The Role of Voters’ Social Class in Poll Effects in the Context of the 2021 German Federal Election,Politische Vierteljahresschrift,,,,10.1007/s11615-022-00417-3,Fabienne UnkelbachMelvin JohnVera Vogel,2022,https://link.springer.com/article/10.1007/s11615-022-00417-3,Article
Green remediation of lead (pb) from Pb-toxic soil by combined use of silicon nanomaterials and leguminous <i>Lens culinaris</i> L. plants,Scientific Reports,,,,10.1038/s41598-025-88759-x,Tayyaba NazMuhammad Mazhar IqbalBilal RazaMuhammad Asad MubeenMuhammad Ather NadeemAbdullah Ahmed Al-GhamdiMohamed S ElshikhMuhammad RizwanRashid Iqbal,2025,https://link.springer.com/article/10.1038/s41598-025-88759-x,Article
Microextraction procedures for preconcentration of Fe (III) in water and food samples prior to colorimetric detection: a comparative study,Journal of the Iranian Chemical Society,,,,10.1007/s13738-022-02697-3,Hanan E. ZedanWael I. MortadaMagdi E. Khalifa,2022,https://link.springer.com/article/10.1007/s13738-022-02697-3,Article
"Kinetics of Cu, Pb and Zn removal during soil flushing with washing agents derived from sewage sludge",Scientific Reports,,,,10.1038/s41598-021-89458-z,Barbara KlikZygmunt M. GusiatinDorota Kulikowska,2021,https://link.springer.com/article/10.1038/s41598-021-89458-z,Article
Recent trends of copper detection in water samples,Bulletin of the National Research Centre,,,,10.1186/s42269-021-00677-w,Ahmed M. ElkhatatMariam SolimanRim IsmailSomaya AhmedNada AbounahiaShamna MubashirSohila FouladiMajeda Khraisheh,2021,https://link.springer.com/article/10.1186/s42269-021-00677-w,Article
Validität und Reliabilität virtualisierter RTR-Messungen,Publizistik,,,,10.1007/s11616-021-00680-1,Thomas WaldvogelUwe WagschalThomas MetzBernd BeckerLinus FeitenSamuel Weishaupt,2021,https://link.springer.com/article/10.1007/s11616-021-00680-1,Article
